Albert Einstein,“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”,"March 14, 1879","in Ulm, Germany"
J.K. Rowling,"“It is our choices, Harry, that show what we truly are, far more than our abilities.”","July 31, 1965","in Yate, South Gloucestershire, England, The United Kingdom"
Albert Einstein,“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”,"March 14, 1879","in Ulm, Germany"
Jane Austen,"“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”","December 16, 1775","in Steventon Rectory, Hampshire, The United Kingdom"
Marilyn Monroe,"“Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”","June 01, 1926",in The United States
Albert Einstein,“Try not to become a man of success. Rather become a man of value.”,"March 14, 1879","in Ulm, Germany"
André Gide,“It is better to be hated for what you are than to be loved for what you are not.”,"November 22, 1869","in Paris, France"
Thomas A. Edison,"“I have not failed. I've just found 10,000 ways that won't work.”","February 11, 1847","in Milan, Ohio, The United States"
Eleanor Roosevelt,“A woman is like a tea bag; you never know how strong it is until it's in hot water.”,"October 11, 1884",in The United States
Steve Martin,"“A day without sunshine is like, you know, night.”","August 14, 1945","in Waco, Texas, The United States"
Marilyn Monroe,"“This life is what you make it. No matter what, you're going to mess up sometimes, it's a universal truth. But the good part is you get to decide how you're going to mess it up. Girls will be your friends - they'll act like it anyway. But just remember, some come, some go. The ones that stay with you through everything - they're your true best friends. Don't let go of them. Also remember, sisters make the best friends in the world. As for lovers, well, they'll come and go too. And baby, I hate to say it, most of them - actually pretty much all of them are going to break your heart, but you can't give up because if you give up, you'll never find your soulmate. You'll never find that half who makes you whole and that goes for everything. Just because you fail once, doesn't mean you're gonna fail at everything. Keep trying, hold on, and always, always, always believe in yourself, because if you don't, then who will, sweetie? So keep your head high, keep your chin up, and most importantly, keep smiling, because life's a beautiful thing and there's so much to smile about.”","June 01, 1926",in The United States
J.K. Rowling,"“It takes a great deal of bravery to stand up to our enemies, but just as much to stand up to our friends.”","July 31, 1965","in Yate, South Gloucestershire, England, The United Kingdom"
Albert Einstein,"“If you can't explain it to a six year old, you don't understand it yourself.”","March 14, 1879","in Ulm, Germany"
Bob Marley,"“You may not be her first, her last, or her only. She loved before she may love again. But if she loves you now, what else matters? She's not perfect—you aren't either, and the two of you may never be perfect together but if she can make you laugh, cause you to think twice, and admit to being human and making mistakes, hold onto her and give her the most you can. She may not be thinking about you every second of the day, but she will give you a part of her that she knows you can break—her heart. So don't hurt her, don't change her, don't analyze and don't expect more than she can give. Smile when she makes you happy, let her know when she makes you mad, and miss her when she's not there.”","February 06, 1945","in Nine Mile, Saint Ann, Jamaica"
Dr. Seuss,"“I like nonsense, it wakes up the brain cells. Fantasy is a necessary ingredient in living.”","March 02, 1904","in Springfield, MA, The United States"
Douglas Adams,"“I may not have gone where I intended to go, but I think I have ended up where I needed to be.”","March 11, 1952","in Cambridge, England, The United Kingdom"
Elie Wiesel,"“The opposite of love is not hate, it's indifference. The opposite of art is not ugliness, it's indifference. The opposite of faith is not heresy, it's indifference. And the opposite of life is not death, it's indifference.”","September 30, 1928","in Sighet, Romania"
Friedrich Nietzsche,"“It is not a lack of love, but a lack of friendship that makes unhappy marriages.”","October 15, 1844","in Röcken bei Lützen, Prussian Province of Saxony, Germany"
Mark Twain,"“Good friends, good books, and a sleepy conscience: this is the ideal life.”","November 30, 1835","in Florida, Missouri, The United States"
Allen Saunders,“Life is what happens to us while we are making other plans.”,"April 24, 1899",in The United States
Pablo Neruda,"“I love you without knowing how, or when, or from where. I love you simply, without problems or pride: I love you in this way because I do not know any other way of loving but this, in which there is no I or you, so intimate that your hand upon my chest is my hand, so intimate that when I fall asleep your eyes close.”","July 12, 1904","in Parral, Chile"
Ralph Waldo Emerson,“For every minute you are angry you lose sixty seconds of happiness.”,"May 25, 1803","in Boston, Massachusetts, The United States"
Mother Teresa,"“If you judge people, you have no time to love them.”","August 26, 1910","in Skopje, Macedonia, the Former Yugoslav Republic of"
Garrison Keillor,“Anyone who thinks sitting in church can make you a Christian must also think that sitting in a garage can make you a car.”,"August 07, 1942","in Anoka, Minnesota, The United States"
Jim Henson,“Beauty is in the eye of the beholder and it may be necessary from time to time to give a stupid or misinformed beholder a black eye.”,"September 24, 1936","in Greenville, Mississippi, The United States"
Dr. Seuss,"“Today you are You, that is truer than true. There is no one alive who is Youer than You.”","March 02, 1904","in Springfield, MA, The United States"
Albert Einstein,"“If you want your children to be intelligent, read them fairy tales. If you want them to be more intelligent, read them more fairy tales.”","March 14, 1879","in Ulm, Germany"
J.K. Rowling,"“It is impossible to live without failing at something, unless you live so cautiously that you might as well not have lived at all - in which case, you fail by default.”","July 31, 1965","in Yate, South Gloucestershire, England, The United Kingdom"
Albert Einstein,“Logic will get you from A to Z; imagination will get you everywhere.”,"March 14, 1879","in Ulm, Germany"
Bob Marley,"“One good thing about music, when it hits you, you feel no pain.”","February 06, 1945","in Nine Mile, Saint Ann, Jamaica"
Dr. Seuss,"“The more that you read, the more things you will know. The more that you learn, the more places you'll go.”","March 02, 1904","in Springfield, MA, The United States"
J.K. Rowling,"“Of course it is happening inside your head, Harry, but why on earth should that mean that it is not real?”","July 31, 1965","in Yate, South Gloucestershire, England, The United Kingdom"
Bob Marley,"“The truth is, everyone is going to hurt you. You just got to find the ones worth suffering for.”","February 06, 1945","in Nine Mile, Saint Ann, Jamaica"
Mother Teresa,“Not all of us can do great things. But we can do small things with great love.”,"August 26, 1910","in Skopje, Macedonia, the Former Yugoslav Republic of"
J.K. Rowling,"“To the well-organized mind, death is but the next great adventure.”","July 31, 1965","in Yate, South Gloucestershire, England, The United Kingdom"
Charles M. Schulz,“All you need is love. But a little chocolate now and then doesn't hurt.”,"November 26, 1922","in Minneapolis, MN, The United States"
William Nicholson,“We read to know we're not alone.”,"January 12, 1948","in Lewes, Sussex, The United Kingdom"
Albert Einstein,“Any fool can know. The point is to understand.”,"March 14, 1879","in Ulm, Germany"
Jorge Luis Borges,“I have always imagined that Paradise will be a kind of library.”,"August 24, 1899","in Buenos Aires, Argentina"
George Eliot,“It is never too late to be what you might have been.”,"November 22, 1819","in South Farm, Arbury Hall, Nuneaton, Warwickshire, The United Kingdom"
George R.R. Martin,"“A reader lives a thousand lives before he dies, said Jojen. The man who never reads lives only one.”","September 20, 1948","in Bayonne, New Jersey, The United States"
C.S. Lewis,“You can never get a cup of tea large enough or a book long enough to suit me.”,"November 29, 1898","in Belfast, Ireland"
Marilyn Monroe,“You believe lies so you eventually learn to trust no one but yourself.”,"June 01, 1926",in The United States
Marilyn Monroe,"“If you can make a woman laugh, you can make her do anything.”","June 01, 1926",in The United States
Albert Einstein,"“Life is like riding a bicycle. To keep your balance, you must keep moving.”","March 14, 1879","in Ulm, Germany"
Marilyn Monroe,“The real lover is the man who can thrill you by kissing your forehead or smiling into your eyes or just staring into space.”,"June 01, 1926",in The United States
Marilyn Monroe,"“A wise girl kisses but doesn't love, listens but doesn't believe, and leaves before she is left.”","June 01, 1926",in The United States
Martin Luther King Jr.,“Only in the darkness can you see the stars.”,"January 15, 1929","in Atlanta, Georgia, The United States"
J.K. Rowling,"“It matters not what someone is born, but what they grow to be.”","July 31, 1965","in Yate, South Gloucestershire, England, The United Kingdom"
James Baldwin,"“Love does not begin and end the way we seem to think it does. Love is a battle, love is a war; love is a growing up.”","August 02, 1924","in Harlem, New York, The United States"
Jane Austen,"“There is nothing I would not do for those who are really my friends. I have no notion of loving people by halves, it is not my nature.”","December 16, 1775","in Steventon Rectory, Hampshire, The United Kingdom"
Eleanor Roosevelt,“Do one thing every day that scares you.”,"October 11, 1884",in The United States
Marilyn Monroe,"“I am good, but not an angel. I do sin, but I am not the devil. I am just a small girl in a big world trying to find someone to love.”","June 01, 1926",in The United States
Albert Einstein,"“If I were not a physicist, I would probably be a musician. I often think in music. I live my daydreams in music. I see my life in terms of music.”","March 14, 1879","in Ulm, Germany"
Haruki Murakami,"“If you only read the books that everyone else is reading, you can only think what everyone else is thinking.”","January 12, 1949","in Kyoto, Japan"
Alexandre Dumas fils,“The difference between genius and stupidity is: genius has its limits.”,"July 27, 1824","in Paris, France"
Stephenie Meyer,"“He's like a drug for you, Bella.”","December 24, 1973","in Connecticut, The United States"
Ernest Hemingway,“There is no friend as loyal as a book.”,"July 21, 1899","in Oak Park, Illinois, The United States"
Helen Keller,"“When one door of happiness closes, another opens; but often we look so long at the closed door that we do not see the one which has been opened for us.”","June 27, 1880","in Tuscumbia, Alabama, The United States"
George Bernard Shaw,“Life isn't about finding yourself. Life is about creating yourself.”,"July 26, 1856","in Dublin, Ireland"
Charles Bukowski,"“That's the problem with drinking, I thought, as I poured myself a drink. If something bad happens you drink in an attempt to forget; if something good happens you drink in order to celebrate; and if nothing happens you drink to make something happen.”","August 16, 1920","in Andernach, Germany"
Suzanne Collins,“You don’t forget the face of the person who was your last hope.”,"August 11, 1962","in Hartford, Connecticut, The United States"
Suzanne Collins,"“Remember, we're madly in love, so it's all right to kiss me anytime you feel like it.”","August 11, 1962","in Hartford, Connecticut, The United States"
C.S. Lewis,"“To love at all is to be vulnerable. Love anything and your heart will be wrung and possibly broken. If you want to make sure of keeping it intact you must give it to no one, not even an animal. Wrap it carefully round with hobbies and little luxuries; avoid all entanglements. Lock it up safe in the casket or coffin of your selfishness. But in that casket, safe, dark, motionless, airless, it will change. It will not be broken; it will become unbreakable, impenetrable, irredeemable. To love is to be vulnerable.”","November 29, 1898","in Belfast, Ireland"
J.R.R. Tolkien,“Not all those who wander are lost.”,"January 03, 1892","in Bloemfontein, Mangaung, Free State, South Africa"
J.K. Rowling,"“Do not pity the dead, Harry. Pity the living, and, above all those who live without love.”","July 31, 1965","in Yate, South Gloucestershire, England, The United Kingdom"
Ernest Hemingway,“There is nothing to writing. All you do is sit down at a typewriter and bleed.”,"July 21, 1899","in Oak Park, Illinois, The United States"
Ralph Waldo Emerson,“Finish each day and be done with it. You have done what you could. Some blunders and absurdities no doubt crept in; forget them as soon as you can. Tomorrow is a new day. You shall begin it serenely and with too high a spirit to be encumbered with your old nonsense.”,"May 25, 1803","in Boston, Massachusetts, The United States"
Mark Twain,“I have never let my schooling interfere with my education.”,"November 30, 1835","in Florida, Missouri, The United States"
Dr. Seuss,“I have heard there are troubles of more than one kind. Some come from ahead and some come from behind. But I've bought a big bat. I'm all ready you see. Now my troubles are going to have troubles with me!”,"March 02, 1904","in Springfield, MA, The United States"
Alfred Tennyson,“If I had a flower for every time I thought of you...I could walk through my garden forever.”,"August 06, 1809","in Somersby, Lincolnshire, The United Kingdom"
Charles Bukowski,“Some people never go crazy. What truly horrible lives they must lead.”,"August 16, 1920","in Andernach, Germany"
Terry Pratchett,"“The trouble with having an open mind, of course, is that people will insist on coming along and trying to put things in it.”","April 28, 1948","in Beaconsfield, Buckinghamshire, England, The United Kingdom"
Dr. Seuss,"“Think left and think right and think low and think high. Oh, the thinks you can think up if only you try!”","March 02, 1904","in Springfield, MA, The United States"
J.D. Salinger,"“What really knocks me out is a book that, when you're all done reading it, you wish the author that wrote it was a terrific friend of yours and you could call him up on the phone whenever you felt like it. That doesn't happen much, though.”","January 01, 1919","in Manhattan, New York, The United States"
George Carlin,“The reason I talk to myself is because I’m the only one whose answers I accept.”,"May 12, 1937","in New York, New York, The United States"
John Lennon,"“You may say I'm a dreamer, but I'm not the only one. I hope someday you'll join us. And the world will live as one.”","October 09, 1940","in Liverpool, England, The United Kingdom"
W.C. Fields,“I am free of all prejudice. I hate everyone equally. ”,"January 29, 1880","in Darby, Pennsylvania, The United States"
Ayn Rand,“The question isn't who is going to let me; it's who is going to stop me.”,"February 02, 1905","in St. Petersburg, Russian Federation"
Mark Twain,“′Classic′ - a book which people praise and don't read.”,"November 30, 1835","in Florida, Missouri, The United States"
Albert Einstein,“Anyone who has never made a mistake has never tried anything new.”,"March 14, 1879","in Ulm, Germany"
Jane Austen,"“A lady's imagination is very rapid; it jumps from admiration to love, from love to matrimony in a moment.”","December 16, 1775","in Steventon Rectory, Hampshire, The United Kingdom"
J.K. Rowling,"“Remember, if the time should come when you have to make a choice between what is right and what is easy, remember what happened to a boy who was good, and kind, and brave, because he strayed across the path of Lord Voldemort. Remember Cedric Diggory.”","July 31, 1965","in Yate, South Gloucestershire, England, The United Kingdom"
Jane Austen,"“I declare after all there is no enjoyment like reading! How much sooner one tires of any thing than of a book! -- When I have a house of my own, I shall be miserable if I have not an excellent library.”","December 16, 1775","in Steventon Rectory, Hampshire, The United Kingdom"
Jane Austen,"“There are few people whom I really love, and still fewer of whom I think well. The more I see of the world, the more am I dissatisfied with it; and every day confirms my belief of the inconsistency of all human characters, and of the little dependence that can be placed on the appearance of merit or sense.”","December 16, 1775","in Steventon Rectory, Hampshire, The United Kingdom"
C.S. Lewis,“Some day you will be old enough to start reading fairy tales again.”,"November 29, 1898","in Belfast, Ireland"
C.S. Lewis,“We are not necessarily doubting that God will do the best for us; we are wondering how painful the best will turn out to be.”,"November 29, 1898","in Belfast, Ireland"
Mark Twain,“The fear of death follows from the fear of life. A man who lives fully is prepared to die at any time.”,"November 30, 1835","in Florida, Missouri, The United States"
Mark Twain,“A lie can travel half way around the world while the truth is putting on its shoes.”,"November 30, 1835","in Florida, Missouri, The United States"
C.S. Lewis,"“I believe in Christianity as I believe that the sun has risen: not only because I see it, but because by it I see everything else.”","November 29, 1898","in Belfast, Ireland"
J.K. Rowling,"“The truth."" Dumbledore sighed. ""It is a beautiful and terrible thing, and should therefore be treated with great caution.”","July 31, 1965","in Yate, South Gloucestershire, England, The United Kingdom"
Jimi Hendrix,"“I'm the one that's got to die when it's time for me to die, so let me live my life the way I want to.”","November 27, 1942","in Seattle, Washington, The United States"
J.M. Barrie,“To die will be an awfully big adventure.”,"May 09, 1860","in Kirriemuir, Angus, Scotland, The United Kingdom"
